"Url","Name","ItemCount","Status"
"/sites/msteams-A/Shared Documents/A/bet365","bet365","2"
"/sites/msteams-A/Shared Documents/A/NT Govt (NAB)","NT Govt (NAB)","2"
"/sites/msteams-A/Shared Documents/A/Cabcharge Spotto Cash Card","Cabcharge Spotto Cash Card","2"
"/sites/msteams-A/Shared Documents/A/Client 1","Client 1","2"
"/sites/msteams-A/Shared Documents/A/Sarina Russo Corporate Program","Sarina Russo Corporate Program","2"
"/sites/msteams-A/Shared Documents/A/Zinc","Zinc","2"
"/sites/msteams-A/Shared Documents/A/Epay (VPAY & MyGift2U)","Epay (VPAY & MyGift2U)","2"
"/sites/msteams-A/Shared Documents/A/Incremental Marketing","Incremental Marketing","2"
"/sites/msteams-A/Shared Documents/A/Coinjar","Coinjar","2"
"/sites/msteams-A/Shared Documents/A/Grassroots (Connectnow)","Grassroots (Connectnow)","2"
"/sites/msteams-A/Shared Documents/A/The Ville","The Ville","2"
"/sites/msteams-A/Shared Documents/A/BetEasy","BetEasy","2"
"/sites/msteams-A/Shared Documents/A/Cabcharge","Cabcharge","2"
"/sites/msteams-A/Shared Documents/A/Macquarie (MRB)","Macquarie (MRB)","2"
"/sites/msteams-A/Shared Documents/A/Accesspay","Accesspay","2"
"/sites/msteams-A/Shared Documents/A/WildCard","WildCard","2"
"/sites/msteams-A/Shared Documents/A/Ladbrokes","Ladbrokes","2"
"/sites/msteams-A/Shared Documents/A/ACT Government","ACT Government","2"
"/sites/msteams-A/Shared Documents/A/Vault Payment Solutions","Vault Payment Solutions","2"
"/sites/msteams-A/Shared Documents/A/Zip Money","Zip Money","2"
"/sites/msteams-E/Shared Documents/E/The Big Heart of Merthyr Tydfil","The Big Heart of Merthyr Tydfil","2"
"/sites/msteams-E/Shared Documents/E/Salto Eiendom (NO)","Salto Eiendom (NO)","3"
"/sites/msteams-E/Shared Documents/E/Whyser","Whyser","9"
"/sites/msteams-E/Shared Documents/E/Carmila Cit? Europe (France)","Carmila Cit? Europe (France)","2"
"/sites/msteams-E/Shared Documents/E/Presend","Presend","5"
"/sites/msteams-E/Shared Documents/E/Trelleborg","Trelleborg","2"
"/sites/msteams-E/Shared Documents/E/PTA","PTA","2"
"/sites/msteams-E/Shared Documents/E/Glasgow Fort","Glasgow Fort","6"
"/sites/msteams-E/Shared Documents/E/Helloyalty","Helloyalty","2"
"/sites/msteams-E/Shared Documents/E/St Albans","St Albans","2"
"/sites/msteams-E/Shared Documents/E/Elite Hotels","Elite Hotels","3"
"/sites/msteams-E/Shared Documents/E/Eden Centre","Eden Centre","6"
"/sites/msteams-E/Shared Documents/E/Meadowhall","Meadowhall","2"
"/sites/msteams-E/Shared Documents/E/Docks Bruxel","Docks Bruxel","6"
"/sites/msteams-E/Shared Documents/E/Westland","Westland","6"
"/sites/msteams-E/Shared Documents/E/Enk?ping Centrumsamverkan","Enk?ping Centrumsamverkan","2"
"/sites/msteams-E/Shared Documents/E/Visit Lule?","Visit Lule?","3"
"/sites/msteams-E/Shared Documents/E/Frank Green","Frank Green","8"
"/sites/msteams-E/Shared Documents/E/Groupon","Groupon","2"
"/sites/msteams-E/Shared Documents/E/01 EML NOR Clients","01 EML NOR Clients","98"
"/sites/msteams-E/Shared Documents/E/Sheffield","Sheffield","2"
"/sites/msteams-E/Shared Documents/E/Sales Promotions","Sales Promotions","1"
"/sites/msteams-E/Shared Documents/E/Supersport","Supersport","7"
"/sites/msteams-E/Shared Documents/E/City 2","City 2","7"
"/sites/msteams-E/Shared Documents/E/St Enoch","St Enoch","6"
"/sites/msteams-E/Shared Documents/E/Perx","Perx","1"
"/sites/msteams-E/Shared Documents/E/FinTech Solutions","FinTech Solutions","15"
"/sites/msteams-E/Shared Documents/E/R8","R8","6"
"/sites/msteams-E/Shared Documents/E/Incomm","Incomm","2"
"/sites/msteams-E/Shared Documents/E/Gallerian AMF","Gallerian AMF","2"
"/sites/msteams-E/Shared Documents/E/Pandora","Pandora","2"
"/sites/msteams-E/Shared Documents/E/Norrt?lje Handelsstad ek.f?r","Norrt?lje Handelsstad ek.f?r","2"
"/sites/msteams-E/Shared Documents/E/Mastercard","Mastercard","15"
"/sites/msteams-E/Shared Documents/E/Liverpool One","Liverpool One","6"
"/sites/msteams-E/Shared Documents/E/Visit Arran","Visit Arran","2"
