Name,DisplayName
AUSVendorBill,AUS-VendorBill
AUSVendorPayment,AUS-VendorPayment
EURVendorBill,EUR-VendorBill
EURVendorPayment,EUR-VendorPayment
FECVendorBill,FEC-VendorBill
FECVendorPayment,FEC-VendorPayment
USAVendorBill,USA-VendorBill
USAVendorPayment,USA-VendorPayment
