Source,Destination,Status,Total bytes,Total GB,Migrated bytes,Migrated GB,GB not migrated,Total scanned item,Total to be migrated,Migrated items,Items not migrated,Warning count,Start time,End time,Duration,GB/hour,Round number,Workflow ID,Task ID,Log Path
"T:\Human Resouces\Australia","https://emlpayments.sharepoint.com/sites/HR-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:52 PM","5/31/2020 6:04:21 PM","0:00:28","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","6900dd2d-886e-4682-9f47-72f36f8ba6cf","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_6900dd2d"
"T:\Human Resouces\EMEA","https://emlpayments.sharepoint.com/sites/HR-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:04:22 PM","0:00:29","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","faaa2e43-001e-4063-b3e9-c8c3244543b0","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_faaa2e43"
"T:\Human Resouces\Global","https://emlpayments.sharepoint.com/sites/HR-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:04:20 PM","0:00:27","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","0ce4f69f-cd12-4544-a253-7aea4aab49b8","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_0ce4f69f"
"T:\Human Resouces\Americas","https://emlpayments.sharepoint.com/sites/HR-U","Completed","4708549902","4.39","4708549902","4.39","0","10170","10170","10170","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:14:42 PM","0:10:49","24.34","1","3965a42c-cb5d-4bf0-b579-c645f494728d","a2e530a1-d0e0-4d1d-a367-fbdbd3cc5a4b","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_a2e530a1"
"T:\Legal\Australia","https://emlpayments.sharepoint.com/sites/msteams349-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:04:19 PM","0:00:26","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","c10a7de9-d367-41be-b233-7487656fed2a","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_c10a7de9"
"T:\Legal\EMEA","https://emlpayments.sharepoint.com/sites/msteams349-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:04:49 PM","0:00:55","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","b78a76b0-acd7-4627-bf33-542cc9e8ac30","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_b78a76b0"
"T:\Legal\Global","https://emlpayments.sharepoint.com/sites/msteams349-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:04:47 PM","0:00:53","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","4269269a-5c4a-44ad-82b7-bb23623b25b6","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_4269269a"
"T:\Legal\Americas","https://emlpayments.sharepoint.com/sites/msteams349-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:04:50 PM","0:00:56","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","00079c36-cbf2-4ec8-bb51-12616ac3e755","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_00079c36"
"T:\Marketing\Australia","https://emlpayments.sharepoint.com/sites/msteams252-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:04:50 PM","0:00:57","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","b012b816-ef72-4b8b-a93a-5da10cec9e32","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_b012b816"
"T:\Marketing\EMEA","https://emlpayments.sharepoint.com/sites/msteams252-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:05:09 PM","0:01:16","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","3735573f-f136-413c-be67-26f7ad1797d8","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_3735573f"
"T:\Marketing\Global","https://emlpayments.sharepoint.com/sites/msteams252-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:05:12 PM","0:01:19","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","21f568e6-9763-44de-a602-19e699f4a51c","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_21f568e6"
"T:\Marketing\Americas","https://emlpayments.sharepoint.com/sites/msteams252-U","Completed","304363658206","283.46","304363658206","283.46","0","66880","66854","66854","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:47:15 PM","0:43:22","392.16","1","3965a42c-cb5d-4bf0-b579-c645f494728d","b66f1285-e8e3-45be-9be0-b7e514a31171","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_b66f1285"
"T:\Operations\Australia","https://emlpayments.sharepoint.com/sites/msteams663-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 6:03:53 PM","5/31/2020 6:05:18 PM","0:01:24","0","1","3965a42c-cb5d-4bf0-b579-c645f494728d","c0640cbb-0dec-4a37-a57a-bc7c6ca8c5bb","C:\Users\jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_3965a42c\Report\TaskReport_c0640cbb"
