Source,Destination,Status,Total bytes,Total GB,Migrated bytes,Migrated GB,GB not migrated,Total scanned item,Total to be migrated,Migrated items,Items not migrated,Warning count,Start time,End time,Duration,GB/hour,Round number,Workflow ID,Task ID,Log Path
"E:\BOX\EML Structure\_Payroll (to move to finance)\Payroll (EML AMER)","https://emlpayments.sharepoint.com/sites/msteams721-U","Completed","392372750","0.37","392372750","0.37","0","1964","1964","1964","0","0","5/30/2020 10:04:36 PM","5/30/2020 10:08:42 PM","0:04:06","5.41","1","135e2eeb-d0e5-4312-a3e5-31787f26e1f8","c9092a30-dae7-44d5-8a19-30c2caaeb53a","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_135e2eeb\Report\TaskReport_c9092a30"
"E:\BOX\EML Structure\_Payroll (to move to finance)\Payroll (EML AUS)","https://emlpayments.sharepoint.com/sites/msteams721-A","Completed","14177576031","13.2","14162872738","13.19","0.01","50407","50401","50394","7","0","5/30/2020 10:04:36 PM","5/31/2020 12:52:46 AM","2:48:10","4.71","1","135e2eeb-d0e5-4312-a3e5-31787f26e1f8","ae0e81cc-c1f8-4c47-af37-9c1110aea316","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_135e2eeb\Report\TaskReport_ae0e81cc"
"E:\BOX\EML Structure\10 Payroll - Restricted - EMEA","https://emlpayments.sharepoint.com/sites/msteams721-E","Completed","251684731","0.23","250821112","0.23","0","1676","1676","1668","8","0","5/30/2020 10:04:36 PM","5/30/2020 10:07:54 PM","0:03:18","4.18","1","135e2eeb-d0e5-4312-a3e5-31787f26e1f8","0fca4df8-6b09-4d16-8045-ec69d62b3d2f","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_135e2eeb\Report\TaskReport_0fca4df8"
"E:\BOX\EML Structure\8 R and D - Restricted - EMEA","https://emlpayments.sharepoint.com/sites/msteams721-E","Completed","20365727","0.02","20365727","0.02","0","100","100","100","0","0","5/30/2020 10:04:36 PM","5/30/2020 10:05:14 PM","0:00:38","1.87","1","135e2eeb-d0e5-4312-a3e5-31787f26e1f8","f9724b85-232a-425a-a012-3de1bfa35cfc","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_135e2eeb\Report\TaskReport_f9724b85"
