Source,Destination,Status,Total bytes,Total GB,Migrated bytes,Migrated GB,GB not migrated,Total scanned item,Total to be migrated,Migrated items,Items not migrated,Warning count,Start time,End time,Duration,GB/hour,Round number,Workflow ID,Task ID,Log Path
"D:\EMH_Data\OneDrive Folder Structure\_Finance\Australia","https://emlpayments.sharepoint.com/sites/msteams721-A","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:40:23 AM","31/05/2020 9:41:30 AM","0:01:06","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","12162462-fa3e-4e60-899b-60e5af2021a2","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_12162462"
"D:\EMH_Data\OneDrive Folder Structure\_Finance\EMEA","https://emlpayments.sharepoint.com/sites/msteams721-E","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:45:02 PM","31/05/2020 9:51:23 PM","0:06:20","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","fbeafab4-051f-45e7-b64d-2ec85b6f0a1e","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_fbeafab4_1"
"D:\EMH_Data\OneDrive Folder Structure\_Finance\Global","https://emlpayments.sharepoint.com/sites/msteams721-G","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:40:25 AM","31/05/2020 9:41:27 AM","0:01:02","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","00fdb265-486e-4506-98aa-174f798d34a7","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_00fdb265"
"D:\EMH_Data\OneDrive Folder Structure\_Finance\Americas","https://emlpayments.sharepoint.com/sites/msteams721-U","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:40:25 AM","31/05/2020 9:43:05 AM","0:02:40","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","f6f66c40-16ca-4f8d-8b95-de8c941f31e1","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_f6f66c40"
"D:\EMH_Data\OneDrive Folder Structure\_General Counsel\Australia","https://emlpayments.sharepoint.com/sites/GC-A","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:40:25 AM","31/05/2020 9:41:24 AM","0:00:59","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","c5ff6998-a350-4a23-8e10-933363d621c5","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_c5ff6998"
"D:\EMH_Data\OneDrive Folder Structure\_General Counsel\EMEA","https://emlpayments.sharepoint.com/sites/GC-E","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:40:25 AM","31/05/2020 9:42:30 AM","0:02:05","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","9da22964-c9d5-4593-9a65-e2e0c305c4f9","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_9da22964"
"D:\EMH_Data\OneDrive Folder Structure\_General Counsel\Global","https://emlpayments.sharepoint.com/sites/GC-G","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:40:25 AM","31/05/2020 9:42:30 AM","0:02:05","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","537913d0-0d52-4f51-9012-ba2a804f9866","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_537913d0"
"D:\EMH_Data\OneDrive Folder Structure\_General Counsel\Americas","https://emlpayments.sharepoint.com/sites/GC-U","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:40:25 AM","31/05/2020 9:42:30 AM","0:02:05","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","e7019a4c-4eaf-4d70-9194-f08f01dd3299","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_e7019a4c"
"D:\EMH_Data\OneDrive Folder Structure\_Human Resouces\Australia","https://emlpayments.sharepoint.com/sites/HR-A","In progress","106773802062","99.44","87988933633","81.95","17.49","195697","194295","138525","11","212","31/05/2020 9:40:25 AM","","13:30:47","6.06","1","b02bbdea-af1f-4f31-9989-efe391e17689","2d343033-3927-4a75-999c-ed7515e42475","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_2d343033"
"D:\EMH_Data\OneDrive Folder Structure\_Human Resouces\EMEA","https://emlpayments.sharepoint.com/sites/HR-E","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:40:25 AM","31/05/2020 9:43:23 AM","0:02:58","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","5f3b221f-4fa2-4cd8-92dc-800db9280333","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_5f3b221f"
"D:\EMH_Data\OneDrive Folder Structure\_Human Resouces\Global","https://emlpayments.sharepoint.com/sites/HR-G","Completed","0","0","0","0","0","0","0","0","0","0","31/05/2020 9:40:25 AM","31/05/2020 9:43:29 AM","0:03:04","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","5b60a5bc-abfe-4a2a-82c1-9735f8ec1029","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_5b60a5bc"
"D:\EMH_Data\OneDrive Folder Structure\_Human Resouces\Americas","https://emlpayments.sharepoint.com/sites/HR-U","Completed","1931383","0","1931383","0","0","1","1","1","0","0","31/05/2020 9:40:25 AM","31/05/2020 9:44:07 AM","0:03:42","0","1","b02bbdea-af1f-4f31-9989-efe391e17689","330226ce-2742-4f79-a634-020aa4b9361f","C:\Users\s-jjones\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_b02bbdea\Report\TaskReport_330226ce"
