Source,Destination,Item name,Extension,Item size (bytes),Type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name,Server error message
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\Victoria St Secret\VIC_05_A4_Flyer\HIRES FILES\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/Victoria St Secret/VIC_05_A4_Flyer/HIRES FILES/Thumbs.db","Thumbs.db",".db","10240","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","675c89ba-2690-5cc3-b1f6-f238ceaeccc0","675c89ba-2690-5cc3-b1f6-f238ceaeccc0","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\Wesfarmers\Old concepts\lores istock\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/Wesfarmers/Old concepts/lores istock/Thumbs.db","Thumbs.db",".db","29184","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","a54d5052-9bdd-5397-b7bf-c99f7fb2b10a","a54d5052-9bdd-5397-b7bf-c99f7fb2b10a","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\Westfield\Card Concepts\Images for Tony\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/Westfield/Card Concepts/Images for Tony/Thumbs.db","Thumbs.db",".db","30208","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","fda70649-64e7-56fe-8b59-dc3294c3714f","fda70649-64e7-56fe-8b59-dc3294c3714f","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\Westfield\Card Concepts\Links\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/Westfield/Card Concepts/Links/Thumbs.db","Thumbs.db",".db","113664","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","a06c840e-42ce-52e5-a5a9-856e7cf7f3d7","a06c840e-42ce-52e5-a5a9-856e7cf7f3d7","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\Westfield\Card Concepts\Mockup Prints\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/Westfield/Card Concepts/Mockup Prints/Thumbs.db","Thumbs.db",".db","108544","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","db9df301-f72e-59b1-8c8c-3f2f2c0104cc","db9df301-f72e-59b1-8c8c-3f2f2c0104cc","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\Westfield\Logo for Stewart\supplied by stewart\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/Westfield/Logo for Stewart/supplied by stewart/Thumbs.db","Thumbs.db",".db","12800","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","aa656ea0-d289-5f32-afff-68fa0f393a59","aa656ea0-d289-5f32-afff-68fa0f393a59","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\Westfield\Red and Black cards\pinmailer banner\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/Westfield/Red and Black cards/pinmailer banner/Thumbs.db","Thumbs.db",".db","8192","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","77018d18-61d8-52fd-9a9e-c752b6a82020","77018d18-61d8-52fd-9a9e-c752b6a82020","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\Why leave Town\WhyLeaveTown FILES FROM USB\Celtic Cash\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/Why leave Town/WhyLeaveTown FILES FROM USB/Celtic Cash/Thumbs.db","Thumbs.db",".db","13312","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","f1a88da2-995a-5c43-8281-1f7950d33169","f1a88da2-995a-5c43-8281-1f7950d33169","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\WILLIS\Group Training Australia\lores istock\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/WILLIS/Group Training Australia/lores istock/Thumbs.db","Thumbs.db",".db","33792","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","cc5523c7-f74b-59c3-b8b8-a71a989ff943","cc5523c7-f74b-59c3-b8b8-a71a989ff943","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\WILLIS\Group Training Australia\mockup image for tony\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/WILLIS/Group Training Australia/mockup image for tony/Thumbs.db","Thumbs.db",".db","15872","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","ade97aa1-7077-57cf-a179-fd3b9bc6a24a","ade97aa1-7077-57cf-a179-fd3b9bc6a24a","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\WILLIS\Group Training Australia\Pin Mailer\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/WILLIS/Group Training Australia/Pin Mailer/Thumbs.db","Thumbs.db",".db","7168","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","bff0c30d-cdc0-5110-8a4c-2faae32fb1fa","bff0c30d-cdc0-5110-8a4c-2faae32fb1fa","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\WILLIS\Group Training Australia\Posi Logo\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/WILLIS/Group Training Australia/Posi Logo/Thumbs.db","Thumbs.db",".db","7680","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","c0996ebd-cc4a-50c7-b8d3-9ea955e2fedb","c0996ebd-cc4a-50c7-b8d3-9ea955e2fedb","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\zinc\ZINC_back of card adjustments\client supplied\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/zinc/ZINC_back of card adjustments/client supplied/Thumbs.db","Thumbs.db",".db","11776","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","3c6d3e0f-324e-56ce-a8a5-eb8f9533a8b4","3c6d3e0f-324e-56ce-a8a5-eb8f9533a8b4","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\zinc\ZINC_proposed Card design\client supplied mockup card\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/zinc/ZINC_proposed Card design/client supplied mockup card/Thumbs.db","Thumbs.db",".db","18944","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","2ad93c2e-e3f5-5f52-b7e1-65584e0b34b0","2ad93c2e-e3f5-5f52-b7e1-65584e0b34b0","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\zinc\ZINC_proposed Card design\images\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/zinc/ZINC_proposed Card design/images/Thumbs.db","Thumbs.db",".db","38400","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","4bc518b8-9e1e-585b-803a-0f62f825ff32","4bc518b8-9e1e-585b-803a-0f62f825ff32","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design Clients\zinc\ZINC_Topcroppers_Giftcard\CardServ Manufacturer\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design Clients/zinc/ZINC_Topcroppers_Giftcard/CardServ Manufacturer/Thumbs.db","Thumbs.db",".db","31232","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","d0027b58-829b-56b7-859e-2c6146417c37","d0027b58-829b-56b7-859e-2c6146417c37","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Generic Card Design\Pin Mailer\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Generic Card Design/Pin Mailer/Thumbs.db","Thumbs.db",".db","8192","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","d744ddf8-d157-5211-98c3-67851e40f40f","d744ddf8-d157-5211-98c3-67851e40f40f","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
