Source,Destination,Status,Total bytes,Total GB,Migrated bytes,Migrated GB,GB not migrated,Total scanned item,Total to be migrated,Migrated items,Items not migrated,Warning count,Start time,End time,Duration,GB/hour,Round number,Workflow ID,Task ID,Log Path
"E:\FTP\_General Counsel\Australia","https://emlpayments.sharepoint.com/sites/GC-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:03 AM","5/31/2020 3:15:56 AM","0:00:52","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","c0420c13-9bde-406c-9ae2-d67b3965b58f","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_c0420c13"
"E:\FTP\_General Counsel\EMEA","https://emlpayments.sharepoint.com/sites/GC-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:15:56 AM","0:00:20","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","4ad33d77-a58a-4748-9b55-b0805f991260","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_4ad33d77"
"E:\FTP\_General Counsel\Global","https://emlpayments.sharepoint.com/sites/GC-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:15:56 AM","0:00:20","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","0970ce47-50be-44e8-8e9a-a8d30395e41a","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_0970ce47"
"E:\FTP\_General Counsel\Americas","https://emlpayments.sharepoint.com/sites/GC-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:15:56 AM","0:00:20","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","50b9fd7d-62f6-4055-a0ef-0e0cd2511141","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_50b9fd7d"
"E:\FTP\_Human Resouces\Australia","https://emlpayments.sharepoint.com/sites/HR-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:16:20 AM","0:00:44","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","18f39284-31f7-4f2c-a1a5-8b7ecb75a9eb","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_18f39284"
"E:\FTP\_Human Resouces\EMEA","https://emlpayments.sharepoint.com/sites/HR-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:16:31 AM","0:00:55","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","d47a0362-e54e-4267-aa90-695b7841cb4d","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_d47a0362"
"E:\FTP\_Human Resouces\Global","https://emlpayments.sharepoint.com/sites/HR-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:16:36 AM","0:01:00","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","3d9d3f6f-ff86-4c96-8c46-e31515ad4ca3","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_3d9d3f6f"
"E:\FTP\_Human Resouces\Americas","https://emlpayments.sharepoint.com/sites/HR-U","Completed","1931383","0","1931383","0","0","1","1","1","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:16:36 AM","0:01:00","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","9c1e0132-ccc3-459a-aa77-4f70a68ac5be","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_9c1e0132"
"E:\FTP\_Legal\Australia","https://emlpayments.sharepoint.com/sites/msteams349-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:16:14 AM","0:00:38","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","03ffc9bb-db7a-4ea2-b69b-414dd7a66585","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_03ffc9bb"
"E:\FTP\_Legal\EMEA","https://emlpayments.sharepoint.com/sites/msteams349-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:16:28 AM","0:00:53","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","844f2747-5bc1-4686-85ad-360dbce0200b","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_844f2747"
"E:\FTP\_Legal\Global","https://emlpayments.sharepoint.com/sites/msteams349-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:16:31 AM","0:00:55","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","093e5531-f970-43ce-9fd3-1b1303b5545a","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_093e5531"
"E:\FTP\_Legal\Americas","https://emlpayments.sharepoint.com/sites/msteams349-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:16:48 AM","0:01:12","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","9160018f-f55f-487b-b97b-f1ed9a439f13","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_9160018f"
"E:\FTP\_Marketing\Australia","https://emlpayments.sharepoint.com/sites/msteams252-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:35 AM","5/31/2020 3:16:48 AM","0:01:12","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","5d5d0916-174b-43ec-9d1d-5ad157c8722e","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_5d5d0916"
"E:\FTP\_Marketing\EMEA","https://emlpayments.sharepoint.com/sites/msteams252-E","Completed","86851478","0.08","86851478","0.08","0","15","15","15","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:18:57 AM","0:03:21","1.43","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","c9e2df19-4ba2-4384-9a4b-934157ac89e0","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_c9e2df19"
"E:\FTP\_Marketing\Global","https://emlpayments.sharepoint.com/sites/msteams252-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:16:58 AM","0:01:22","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","544200fd-7b0a-4bb5-a866-8e17a1df286a","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_544200fd"
"E:\FTP\_Marketing\Americas","https://emlpayments.sharepoint.com/sites/msteams252-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:18:06 AM","0:02:30","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","fae6916b-d490-4325-8270-1590dc1a8b27","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_fae6916b"
"E:\FTP\_Operations\Australia","https://emlpayments.sharepoint.com/sites/msteams663-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:17:12 AM","0:01:36","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","08d475b0-e779-4f94-8372-891d66a6ecba","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_08d475b0"
"E:\FTP\_Operations\EMEA","https://emlpayments.sharepoint.com/sites/msteams663-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:17:30 AM","0:01:54","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","9a4e3ed0-91c8-484b-b62a-afda3901d210","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_9a4e3ed0"
"E:\FTP\_Operations\Global","https://emlpayments.sharepoint.com/sites/msteams663-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:17:14 AM","0:01:38","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","6cc7c7e8-1279-4e27-9fac-f0ee7afbfa01","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_6cc7c7e8"
"E:\FTP\_Operations\Americas","https://emlpayments.sharepoint.com/sites/msteams663-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:17:27 AM","0:01:51","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","aff13e00-d547-44f8-aa38-be0016bcac64","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_aff13e00"
"E:\FTP\_Product\Australia","https://emlpayments.sharepoint.com/sites/msteams368-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:17:53 AM","0:02:17","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","72c4a293-bee1-4a07-8f3f-c5627597871f","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_72c4a293"
"E:\FTP\_Product\EMEA","https://emlpayments.sharepoint.com/sites/msteams368-E","Completed","14453567","0.01","14453567","0.01","0","3","3","3","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:18:08 AM","0:02:32","0.24","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","955b22c0-fff4-4690-b11a-225f93700896","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_955b22c0"
"E:\FTP\_Product\Global","https://emlpayments.sharepoint.com/sites/msteams368-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:17:43 AM","0:02:07","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","2fd37e74-2fa8-42a4-a040-26cbba1930fe","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_2fd37e74"
"E:\FTP\_Product\Americas","https://emlpayments.sharepoint.com/sites/msteams368-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:18:11 AM","0:02:35","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","ad449e0d-71ed-416f-8f75-7dc0e36cdf4e","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_ad449e0d"
"E:\FTP\_Project Management\Australia","https://emlpayments.sharepoint.com/sites/PM354-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:19:37 AM","0:04:01","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","efb7513b-52f0-498c-bbcb-0297ed5b388e","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_efb7513b"
"E:\FTP\_Project Management\EMEA","https://emlpayments.sharepoint.com/sites/PM354-E","Completed","2136241706","1.99","2136241706","1.99","0","2218","2215","2215","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:38:58 AM","0:23:22","5.11","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","30435755-59f2-4fac-8c1b-f8dae1bbec81","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_30435755"
"E:\FTP\_Project Management\Global","https://emlpayments.sharepoint.com/sites/PM354-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:18:25 AM","0:02:48","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","00fa51fa-7e1c-4911-b94f-909f776b5b1f","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_00fa51fa"
"E:\FTP\_Project Management\Americas","https://emlpayments.sharepoint.com/sites/PM354-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:18:54 AM","0:03:18","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","0d10c4b1-b05b-4887-ae40-e8cac9854972","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_0d10c4b1"
"E:\FTP\_Sales\Australia","https://emlpayments.sharepoint.com/sites/msteams171-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:18:38 AM","0:03:02","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","d2f81e73-2964-4a9b-b047-f6efcd7ae311","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_d2f81e73"
"E:\FTP\_Sales\EMEA","https://emlpayments.sharepoint.com/sites/msteams171-E","Completed","111376892","0.1","111376892","0.1","0","163","163","163","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:27:03 AM","0:11:26","0.52","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","02fad173-93d0-4f41-96ee-496894633c78","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_02fad173"
"E:\FTP\_Sales\Global","https://emlpayments.sharepoint.com/sites/msteams171-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:19:09 AM","0:03:33","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","d8160b6a-43df-4381-bf5d-dffb5ea444b6","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_d8160b6a"
"E:\FTP\_Sales\Americas","https://emlpayments.sharepoint.com/sites/msteams171-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:19:14 AM","0:03:38","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","0ad6e8b3-85e5-4839-8c49-05ac40c782f7","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_0ad6e8b3"
"E:\FTP\_Technology\Development\Australia","https://emlpayments.sharepoint.com/sites/TD-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:19:57 AM","0:04:21","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","a1930848-e886-492e-9a31-efd5817e1c83","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_a1930848"
"E:\FTP\_Technology\Development\EMEA","https://emlpayments.sharepoint.com/sites/TD-E","Completed","12224602586","11.39","11767063002","10.96","0.43","21904","21904","21903","1","0","5/31/2020 3:15:36 AM","5/31/2020 5:09:03 AM","1:53:27","5.8","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","5e0dd2d8-a4f8-41f5-af36-7eb003886258","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_5e0dd2d8"
"E:\FTP\_Technology\Development\Global","https://emlpayments.sharepoint.com/sites/TD-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:20:20 AM","0:04:44","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","d4ce0a68-1859-42a5-ade7-d8bdf87e3844","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_d4ce0a68"
"E:\FTP\_Technology\Development\Americas","https://emlpayments.sharepoint.com/sites/TD-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:20:48 AM","0:05:12","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","1176f6f9-32c7-4bdb-8db1-9c57975cf297","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_1176f6f9"
"E:\FTP\_Technology\Information Security\Australia","https://emlpayments.sharepoint.com/sites/TIS-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:20:39 AM","0:05:03","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","3683f461-a998-460c-b44c-40327fc09f00","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_3683f461"
"E:\FTP\_Technology\Information Security\EMEA","https://emlpayments.sharepoint.com/sites/TIS-E","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:20:57 AM","0:05:21","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","98df9526-5d4b-47f4-8012-2122dda394c5","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_98df9526"
"E:\FTP\_Technology\Information Security\Global","https://emlpayments.sharepoint.com/sites/TIS-G","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:21:39 AM","0:06:03","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","937bea64-26a0-4343-84c2-c2747f4dfc37","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_937bea64"
"E:\FTP\_Technology\Information Security\Americas","https://emlpayments.sharepoint.com/sites/TIS-U","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:21:18 AM","0:05:41","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","3614ef7d-70fe-46cb-84c1-9f5b54d99a8b","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_3614ef7d"
"E:\FTP\_Technology\Infrastructure\Australia","https://emlpayments.sharepoint.com/sites/TI-A","Completed","0","0","0","0","0","0","0","0","0","0","5/31/2020 3:15:36 AM","5/31/2020 3:22:31 AM","0:06:54","0","1","0685cb65-d210-4dc9-92f2-cfd4495940cc","8eb8d9a3-ebdb-41a3-9211-fbb5578a3c85","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_0685cb65\Report\TaskReport_8eb8d9a3"
