Source,Destination,Status,Total bytes,Total GB,Migrated bytes,Migrated GB,GB not migrated,Total scanned item,Total to be migrated,Migrated items,Items not migrated,Warning count,Start time,End time,Duration,GB/hour,Round number,Workflow ID,Task ID,Log Path
"E:\BOX\EML Structure\_ ECommerce\Australia","https://emlpayments.sharepoint.com/sites/EC-A","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:08:50 PM","5/30/2020 10:09:07 PM","0:00:16","0","1","65301e02-2d85-44b7-b92d-b2baa27cc259","a7e45896-e717-45d2-85da-e0e84be29234","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_65301e02\Report\TaskReport_a7e45896"
"E:\BOX\EML Structure\_ ECommerce\EMEA","https://emlpayments.sharepoint.com/sites/EC-E","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:08:50 PM","5/30/2020 10:09:06 PM","0:00:15","0","1","65301e02-2d85-44b7-b92d-b2baa27cc259","d480bb1f-a4ec-4f17-8b27-264ab28f0dac","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_65301e02\Report\TaskReport_d480bb1f"
"E:\BOX\EML Structure\_ ECommerce\Global","https://emlpayments.sharepoint.com/sites/EC-G","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:08:50 PM","5/30/2020 10:09:06 PM","0:00:15","0","1","65301e02-2d85-44b7-b92d-b2baa27cc259","3774d17d-9e94-4270-9659-509f64871f2a","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_65301e02\Report\TaskReport_3774d17d"
"E:\BOX\EML Structure\_ ECommerce\Americas","https://emlpayments.sharepoint.com/sites/EC-U","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:08:50 PM","5/30/2020 10:09:06 PM","0:00:15","0","1","65301e02-2d85-44b7-b92d-b2baa27cc259","41c4350d-cddc-4a07-8684-baea712eeb65","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_65301e02\Report\TaskReport_41c4350d"
"E:\BOX\EML Structure\_Account Management (Commercial and Operational)\Australia","https://emlpayments.sharepoint.com/sites/AM-A","Completed","3083534","0","3083534","0","0","18","18","18","0","0","5/30/2020 10:08:50 PM","5/30/2020 10:09:09 PM","0:00:18","0","1","65301e02-2d85-44b7-b92d-b2baa27cc259","6b89d085-6168-489d-9eaa-2c50621101d5","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_65301e02\Report\TaskReport_6b89d085"
"E:\BOX\EML Structure\_Account Management (Commercial and Operational)\EMEA","https://emlpayments.sharepoint.com/sites/AM-E","Completed","226305446","0.21","226305446","0.21","0","190","190","190","0","0","5/30/2020 10:08:50 PM","5/30/2020 10:10:29 PM","0:01:38","7.64","1","65301e02-2d85-44b7-b92d-b2baa27cc259","4608e44f-8b89-4dec-bc3c-4f73e85279e7","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_65301e02\Report\TaskReport_4608e44f"
"E:\BOX\EML Structure\_Account Management (Commercial and Operational)\Global","https://emlpayments.sharepoint.com/sites/AM-G","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:08:50 PM","5/30/2020 10:09:28 PM","0:00:37","0","1","65301e02-2d85-44b7-b92d-b2baa27cc259","42bc0f35-f0f3-40b1-b0b8-dc7bfb647e4c","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_65301e02\Report\TaskReport_42bc0f35"
"E:\BOX\EML Structure\_Account Management (Commercial and Operational)\Americas","https://emlpayments.sharepoint.com/sites/AM-U","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:08:50 PM","5/30/2020 10:09:27 PM","0:00:36","0","1","65301e02-2d85-44b7-b92d-b2baa27cc259","09e4c188-6493-4869-b59b-e396139334d9","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_65301e02\Report\TaskReport_09e4c188"
"E:\BOX\EML Structure\_Acquisitions and Investor Relations\Australia","https://emlpayments.sharepoint.com/sites/AIR-A","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:08:50 PM","5/30/2020 10:09:27 PM","0:00:37","0","1","65301e02-2d85-44b7-b92d-b2baa27cc259","a8f219a3-d9f3-4f82-a6c4-75f73d597f29","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_65301e02\Report\TaskReport_a8f219a3"
"E:\BOX\EML Structure\_Acquisitions and Investor Relations\EMEA","https://emlpayments.sharepoint.com/sites/AIR-E","Completed","0","0","0","0","0","0","0","0","0","0","5/30/2020 10:08:50 PM","5/30/2020 10:09:36 PM","0:00:45","0","1","65301e02-2d85-44b7-b92d-b2baa27cc259","4576f8fe-460b-4b4e-ad0b-57bf81480d6b","C:\Users\devblue-sa\AppData\Roaming\Microsoft\MigrationTool\storefinancial.com\WF_65301e02\Report\TaskReport_4576f8fe"
